title,link,date
Roundup: Growing demand for Traditional Chinese Medicine promotes China-Zimbabwe cooperation,https://english.news.cn/africa/20241221/34fa799f0bcf4859a8717261b93be96f/c.html,2024-12-21 01:31:30
Guest Opinion: China's green development a global path to sustainability,https://english.news.cn/africa/20241220/23ebd4dbceba440b99af6a5f717267dc/c.html,2024-12-20 20:09:00
First China-aided agricultural training session kicks off in DR Congo,https://english.news.cn/africa/20241220/2afdcec397c64a0794e27ff420f896b6/c.html,2024-12-20 01:03:45
"Chinese medical team donates medicines, equipment to South Sudan's main hospital",https://english.news.cn/africa/20241218/20d50be743864b8d9d2e70bf70348341/c.html,2024-12-18 23:16:30
"Zoom Africa: ""Made in Africa, Used for Africa"" leads China-Africa medicine cooperation",https://english.news.cn/africa/20241218/92385b046649426f8f23d9ddd8094c6e/c.html,2024-12-18 12:42:30
"Chinese enterprises in Kenya drive green growth, modernization: report",https://english.news.cn/africa/20241218/b346d69094a94874943aa64905f29067/c.html,2024-12-18 01:01:46
"Feature: Chinese medics sowing seeds of solidarity, friendship in Sao Tome and Principe",https://english.news.cn/africa/20241218/ae025be8ed634e3d8144d5a8e47bd3d9/c.html,2024-12-18 00:50:30
Chinese construction firm reaffirms commitment to Tanzania in CSR report,https://english.news.cn/africa/20241217/4963abf60e1e48b89c5149c590208a98/c.html,2024-12-17 02:58:45
Somalia concludes explosive management training with Chinese support,https://english.news.cn/africa/20241217/619618f94b754ec48f27a3d97ae3f45a/c.html,2024-12-17 00:30:00
"China donates nearly 1,000 tonnes of emergency food to support vulnerable people in South Sudan",https://english.news.cn/africa/20241217/563e8be82680432da716262d609bcfd9/c.html,2024-12-16 23:59:46
"China-Ethiopia Friendship Relay Race held to promote road safety, healthy life",https://english.news.cn/africa/20241216/0167c7609544470e9826eb0c7238e8ff/c.html,2024-12-16 22:50:15
Chinese firms commit to community development in Zimbabwe,https://english.news.cn/africa/20241216/09ff4514ba06418197e3cd53f06cd575/c.html,2024-12-16 22:22:45
"Interview: Robust Tanzania-China ties pave way for extensive cooperation, says Tanzania's Zanzibar senior tourism official",https://english.news.cn/africa/20241214/aab5d4e9b24c4f0b908c11510ea92a44/c.html,2024-12-14 22:25:15
Zambian president meets senior Chinese political advisor,https://english.news.cn/africa/20241214/059e2b1070904487a9fb5d8f74fbc770/c.html,2024-12-14 16:58:31
Feature: China's Luban Workshop fuels young Kenyans' innovative spirit,https://english.news.cn/africa/20241208/303e498b4f14478cb638337c688de2b2/c.html,2024-12-08 01:45:45
"Interview: BRI delivers benefits to all, says former S. African diplomat",https://english.news.cn/africa/20241207/1d4a117670c34d93b791301feb5e517c/c.html,2024-12-07 15:22:30
Namibia bolsters water infrastructure with Chinese assistance,https://english.news.cn/africa/20241207/55c05f7c65974dd090201c7f01b544ed/c.html,2024-12-07 01:40:45
"Ethiopia to host first China-Ethiopia film, TV festival",https://english.news.cn/africa/20241207/f0fc549363aa44ef928ec275898ebf81/c.html,2024-12-07 01:22:15
"Kenyan, Chinese colleges ink deal to enhance role of Luban Workshop",https://english.news.cn/africa/20241206/a4d39afb89384afd82b0557ebb88a459/c.html,2024-12-06 00:19:00
Tanzania hosts conference on Chinese modernization and African development,https://english.news.cn/africa/20241206/b5b59ff3569b4f4b8f2c1acf7bb63d0e/c.html,2024-12-06 00:06:45
Feature: Chinese drilling team turns Egypt's desert into farmland,https://english.news.cn/africa/20241205/49acbd7cf18f4ebca33e41bfecf47e91/c.html,2024-12-05 04:26:45
Kenya committed to long-term strategic partnership with China: senior official,https://english.news.cn/africa/20241204/400b53a16e7440b69712acf61fefc20d/c.html,2024-12-04 23:01:00
Chinese medical team brings relief to South Sudan's ailing population,https://english.news.cn/africa/20241204/ea1a3299d16742c98e8847e473a991d3/c.html,2024-12-04 01:36:00
Feature: 5-year-old Tanzanian girl follows in father's footsteps mastering Chinese kung fu,https://english.news.cn/africa/20241204/3a5035f2e3e9469c97811474dc7eb122/c.html,2024-12-04 01:24:30
Traditional Chinese medicine gains popularity in Zimbabwe,https://english.news.cn/africa/20241204/7c6bf15fdc1d4348b5ee96c7328442aa/c.html,2024-12-04 00:22:00
Zambia hosts conference on China's experience in renewable energy development,https://english.news.cn/africa/20241204/c92694565ed7404bb7de68020076de1c/c.html,2024-12-04 01:08:15
"Interview: BRI plays key role in driving economic development in participating countries, says expert",https://english.news.cn/africa/20241203/699a5e62250e4719ba1aef5686638cac/c.html,2024-12-03 10:12:45
ILO chief hails China's poverty reduction efforts,https://english.news.cn/africa/20241203/a18cc0d5fe2c4d08aac5d11a791b5431/c.html,2024-12-03 01:26:00
"Feature: Chinese medical team offers free healthcare, training to Botswanan police officers",https://english.news.cn/africa/20241203/048cfbd9167048cabc177542001c7b31/c.html,2024-12-03 00:42:00
Feature: Cameroon's new National Assembly complex stands as testament to win-win Sino-Cameroonian friendship,https://english.news.cn/africa/20241203/a0b83d0cd35e4b2f8fe23a824008155e/c.html,2024-12-03 00:16:15
"Tanzanian PM hails Tanzania-China association for fostering, advancing ties",https://english.news.cn/africa/20241202/78133aab73064c11af869755ff56f4d8/c.html,2024-12-02 20:20:45
Senior Chinese lawmaker visits Cameroon,https://english.news.cn/africa/20241202/111b78f425f7423aacf7815491f77ddb/c.html,2024-12-02 00:23:30
Chinese feature film awarded at Cairo Int'l Film Festival,https://english.news.cn/africa/20241123/a5df1d51a6034d888e2f175f3f527518/c.html,2024-11-23 21:33:45
"Chinese navy hospital ship ""Peace Ark"" makes technical stop in Algeria",https://english.news.cn/africa/20241122/df7e46631fd344aabe6944004660f5de/c.html,2024-11-22 06:05:00
"Huawei, charity partners to empower women with digital skills in Kenya",https://english.news.cn/africa/20241122/4ce456b5140f4adb9b1376bfa9e266c6/c.html,2024-11-22 01:24:45
"Uganda, Huawei host annual job fair to promote employment in ICT sector",https://english.news.cn/africa/20241122/ba18d87c24374a90bb25ef6b21248b1f/c.html,2024-11-22 00:17:30
"Feature: Culture center bridges Chinese, Tanzanian children, fostering friendship",https://english.news.cn/africa/20241122/50ede3c17dec402a81254f60a73b8018/c.html,2024-11-21 23:55:30
Chinese companies shine at Egypt's largest ICT expo,https://english.news.cn/africa/20241121/8f43e589a84540d9b5fec355b64237ec/c.html,2024-11-21 06:11:45
Zimbabwe seeks more Chinese investment in energy sector amid power shortages,https://english.news.cn/africa/20241121/427e42d13f3943ebb4fc3a1a0ece5620/c.html,2024-11-20 23:58:31
Zimbabwe to leverage ties with China to accelerate industrialization: FM,https://english.news.cn/africa/20241121/2aafb429cee74e4c8c109aa225703615/c.html,2024-11-21 01:16:45
Feature: Skin disease patients in South Sudan find cure from Chinese medical team,https://english.news.cn/africa/20241121/6ddee33f781847b88842e036f8ead0da/c.html,2024-11-21 01:55:30
Interview: Egyptian film industry eyes further cooperation with China: CIFF president,https://english.news.cn/africa/20241120/ad0dfae9910d40bfb492d189a5166594/c.html,2024-11-20 02:57:31
"Feature: Cost-effective, eco-friendly EVs gaining traction in Zimbabwe",https://english.news.cn/africa/20241120/dda61b51b691410098030d91dad8b238/c.html,2024-11-20 02:45:45
Chinese auto brand Exeed launches 2 SUV models in Egypt,https://english.news.cn/africa/20241120/9cc90bd4e6d44458b7a908fe3345af00/c.html,2024-11-20 02:29:15
Huawei partners with Kenyan firm on artificial intelligence customer care solution,https://english.news.cn/africa/20241120/cde80cd7f90c4c2f9090fee89935f290/c.html,2024-11-19 23:46:15
"Interview: China's green growth path offers insights for Africa, says expert",https://english.news.cn/africa/20241119/50967ffce6e6465f8abd942e0ccef3f8/c.html,2024-11-19 01:38:00
"Ethiopian PM inaugurates China-supported forensic investigation, research center",https://english.news.cn/africa/20241117/9959ad129ef84d7db38213db09a84fd1/c.html,2024-11-17 18:49:00
"Feature: Chinese road upgrading projects transform Namibia's rural region, enhancing livelihoods, connectivity",https://english.news.cn/africa/20241115/08d5a1a70bbe46e1931517f09b278c8a/c.html,2024-11-15 21:52:30
FOCAC key to strengthening China-Africa ties: experts,https://english.news.cn/africa/20241115/c05db6c0c6654f619653d679497d7a38/c.html,2024-11-15 20:49:30
East China's Jiangsu Province organizes conference in Ethiopia to promote cooperation,https://english.news.cn/africa/20241115/8f147df21d5d44749366a901e5135a52/c.html,2024-11-15 20:47:30
Ethiopia expresses keen interest in stronger China ties,https://english.news.cn/africa/20241113/979c4f4cb4464ac48f20c4d4375e35ab/c.html,2024-11-13 18:56:15
China wins applause for peace support operations in Africa,https://english.news.cn/africa/20241112/5c9ef46da61c4cfea0a875cf437d7b20/c.html,2024-11-12 12:41:30
Chinese government donates more food to food-insecure families in Malawi,https://english.news.cn/africa/20241110/17d0f41f53e3462db4cf7bc6d27924fb/c.html,2024-11-10 01:52:00
Chinese firm empowers Malawi students with hands-on skills in railway project,https://english.news.cn/africa/20241110/8755513bbe34487ba9f3bfa077144584/c.html,2024-11-10 01:29:00
Egyptian party representatives hail China-Egypt TEDA zone as promising model for BRI cooperation,https://english.news.cn/africa/20241109/765ae7fb9223418ead3066ea22d7b393/c.html,2024-11-09 03:52:00
Chinese firm opens steel manufacturing plant in Zambia,https://english.news.cn/africa/20241109/3f29e17b58c04e99a91569587439df2e/c.html,2024-11-09 02:07:00
Think tank sees fruitful prospect of China-Nigeria ties,https://english.news.cn/africa/20241108/8c738ecd71924b9fa94e634b43346f92/c.html,2024-11-08 22:16:00
Huawei to host hackathon to spark digital innovations in Kenya,https://english.news.cn/africa/20241107/ab9fb59452634be9aecac140ca849d83/c.html,2024-11-07 01:32:15
"Ethiopia draws valuable lessons from China's development, says official",https://english.news.cn/africa/20241107/727f9511c9c84e37a06e4d4e8784a65d/c.html,2024-11-07 01:50:45
Feature: Chinese-built road opens up Kenya's far-off region,https://english.news.cn/africa/20241107/0c69cf57d51f4ecc8af59e5cf689c97c/c.html,2024-11-07 00:38:30
Feature: Chinese road builders win credit in Uganda for community engagement,https://english.news.cn/africa/20241106/380b5dc4b16b4aa0bc59171ac0e03d29/c.html,2024-11-06 23:16:15
"(CIIE) Interview: CIIE crucial for promoting global trade, investment, and cooperation, says Malawian economist",https://english.news.cn/africa/20241106/de0d856ed86d4c76811ea063aa5676d4/c.html,2024-11-06 22:34:00
World Urban Forum participants praise China's efforts to promote urban greening,https://english.news.cn/africa/20241106/b777af9344a8464db9ab20a041e96534/c.html,2024-11-06 06:38:15
Chinese training program helps Tanzania's Zanzibar improve pediatric treatment,https://english.news.cn/africa/20241106/ea5b6cf82bb0445f9f9a90a6dc787d77/c.html,2024-11-06 02:11:30
Over 300 Ghanaian students awarded Chinese Ambassador Scholarships,https://english.news.cn/africa/20241106/44bd0063dfea4a72a0cad920f9831d3d/c.html,2024-11-06 01:53:45
China-Africa-UNIDO Center of Excellence opens in Ethiopia to advance Africa's development,https://english.news.cn/africa/20241106/42902ea55cae4c5796a24ec071c0c11a/c.html,2024-11-06 01:05:15
Zambian firm seeks to explore Chinese market at CIIE,https://english.news.cn/africa/20241106/c9e4ab5b0f264700ad95257113459a71/c.html,2024-11-05 23:24:30
"Roundup: Egyptian firms gear up for China's import expo, eyeing huge market",https://english.news.cn/africa/20241104/7ee4d9d793f84d619922212f6fd7dc05/c.html,2024-11-04 03:56:30
Feature: Chinese-funded bamboo project brings relief to flood-ravaged Kenyan communities,https://english.news.cn/africa/20241103/3694773b5cf94d54b0c659464919a0dd/c.html,2024-11-03 22:54:15
"Interview: Trade with China improves wellbeing of African people, says Kenyan expert",https://english.news.cn/africa/20241102/ade66546f77343098b15545898da38e4/c.html,2024-11-02 14:53:00
Kenya launches China-supported bamboo agroforestry initiative to manage floods,https://english.news.cn/africa/20241101/531d1f8031d742fd852fbecced9e610b/c.html,2024-11-01 20:27:00
Interview: Kuwaiti national bank mulls applying for license to handle Chinese currency: Kuwaiti banker,https://english.news.cn/africa/20241101/5a87d9285360499bb3d320633f9fb5fc/c.html,2024-11-01 16:59:00
100 Chinese EVs introduced to Kenyan taxi industry to promote green transport,https://english.news.cn/africa/20241030/9763f43802ed4a1db2f58e2e1cf40ddb/c.html,2024-10-30 21:25:15
CPC delegation visits Namibia on ties,https://english.news.cn/africa/20241028/4818a542e90243c2a039785d22c68762/c.html,2024-10-28 21:30:30
"China donates food to Malawi, and scholarship funds for needy students",https://english.news.cn/africa/20241027/227766b7072240789f90168c4a6085ce/c.html,2024-10-27 01:08:00
Mozambican healthcare professionals return home from advanced training in China,https://english.news.cn/africa/20241027/bf52766a718940728d7662034c144559/c.html,2024-10-27 00:27:30
Feature: Chinese tomato grafting technology broadening revenue streams for Kenyan farmers,https://english.news.cn/africa/20241026/869557ab8b954b129c1d9d3f5e49369c/c.html,2024-10-26 21:23:15
"China hands over agricultural machinery, infrastructure to Malawian gov't",https://english.news.cn/africa/20241026/121dbf7c30b143ac80f6e67950084ebe/c.html,2024-10-26 01:54:15
Roundup: Chinese-funded geothermal project to boost clean energy access in Kenya,https://english.news.cn/africa/20241025/f2907242a88c4ad1ad7ba74205bb7523/c.html,2024-10-25 01:42:45
Chinese doctors relieve treatment burden of South Sudanese family,https://english.news.cn/africa/20241024/5445fe18df6b4427af8225220b715245/c.html,2024-10-24 01:22:15
Ethiopian experts hail China's modernization path as crucial catalyst for global development,https://english.news.cn/africa/20241024/4b9a55ea158647669870c9185c39c94f/c.html,2024-10-24 01:14:30
Confucius Institute hosts job expo in Zambia,https://english.news.cn/africa/20241024/27fdbd8472614927ba6c3216d09702a0/c.html,2024-10-24 01:09:00
"Tanzania, Chinese firm sign agreement for construction of 390-meter bridge",https://english.news.cn/africa/20241023/65a869ccff0941b4b5ee3ac4c9537414/c.html,2024-10-23 23:18:46
"Interview: BRICS provides alternative funding, diplomacy options for developing countries, says expert",https://english.news.cn/africa/20241023/3a4ab8acbb924794adbe572561213a7b/c.html,2024-10-23 16:00:30
China Focus: African farmers boost incomes thanks to Chinese expertise,https://english.news.cn/africa/20241022/e42669737f84406f935579b06327d65e/c.html,2024-10-22 13:41:31
Roundup: Over 100 Ethiopians complete China-supported talent development program,https://english.news.cn/africa/20241022/ae920343233246b78cec3971b177b8c3/c.html,2024-10-21 23:51:15
Guinea-Bissau's health minister praises Chinese medical team for contribution,https://english.news.cn/africa/20241021/7768661c4b5445f2a25a48813227a765/c.html,2024-10-20 23:44:45
Feature: How Chinese agricultural expertise is improving farming in Sao Tome and Principe,https://english.news.cn/africa/20241018/0c058551f4354fa3a48fa4c2d3e36c99/c.html,2024-10-18 16:27:30
Feature: Chinese support enhances education in Kenya's Mathare slums,https://english.news.cn/africa/20241016/e0b3eb5c877f4b74842068e260ca9fc1/c.html,2024-10-16 22:21:45
"Over 1,500 undergo free clinic from Chinese medical team in Tanzania's Southern Highlands",https://english.news.cn/africa/20241015/ac1bdc1c37ba4f00added214763ed07e/c.html,2024-10-15 21:57:00
"7th CIIE to offer platform for showcasing Tanzanian goods, services: official",https://english.news.cn/africa/20241015/db47c0bee66c4d32af83c0bf9d1223c3/c.html,2024-10-15 21:52:30
"Interview: Algerian scholar dipicts Xinjiang's religious freedom, development as impressive",https://english.news.cn/africa/20241014/bc2e5f719d684b4fa943260a4d27c5a5/c.html,2024-10-14 20:46:00
"Experts, officials call for stronger China-Africa cooperation via Global Development Initiative",https://english.news.cn/africa/20241013/50f7b688b2a94429a8b6498d75987262/c.html,2024-10-13 12:05:45
Chinese investors vitalize Ethiopia's economic growth: investment commission,https://english.news.cn/africa/20241013/7ca63a56168b4ca19ff876f7cb40268f/c.html,2024-10-13 00:24:15
"Chinese, Zimbabwean universities launch research center on civilization exchanges",https://english.news.cn/africa/20241013/80a634599be74c45ad9778e86ea2866d/c.html,2024-10-12 23:21:45
Officials commend China's support for public health in Africa,https://english.news.cn/africa/20241012/380700c80bec4b189df3ffbf3cb3d374/c.html,2024-10-12 17:56:00
"Roundup: Experts, officials laud China's initiative as key driver of global development",https://english.news.cn/africa/20241012/015ca2b4661b46d9816b39cf227771fb/c.html,2024-10-12 01:34:30
Plans to hold first Chinese investment expo in Zimbabwe on course: official,https://english.news.cn/africa/20241011/c4150bfca7ba411d97d3c70ad767fa8c/c.html,2024-10-11 21:33:00
Feature: Chinese solar technology shines at global off-grid solar expo,https://english.news.cn/africa/20241011/3e06adc39a14456ab69a04cd26eedc32/c.html,2024-10-11 00:16:30
Chinese firms plan to increase investment in Zambia's mining sector,https://english.news.cn/africa/20241009/69f1455c961940a5ae2bc7f9a2cf9883/c.html,2024-10-09 01:51:45
Feature: Kenyan entrepreneurs explore opportunities at China Trade Week,https://english.news.cn/africa/20241003/2ce00c741a6840caa6c9126f358148c9/c.html,2024-10-03 21:18:30
"Interview: China's modernization benefits Global South, says chief editor of Egypt's top paper",https://english.news.cn/africa/20241002/8116fe28ee8e41cb96af871d93d9453d/c.html,2024-10-02 14:33:45
African and other world leaders extend congratulations on PRC's 75th founding anniversary,https://english.news.cn/africa/20241002/3197dac53dd84b4b84ff8f7bb6fad951/c.html,2024-10-02 13:17:00
